date, maus, revenue
2004-06-30, 110.1, 32.7
2004-09-30, 119, 36.4
2004-12-31, 135, 38
2005-03-31, 149.2, 36.3
2005-06-30, 173.1, 40.3
2005-09-30, 184.8, 44.8
2005-12-31, 201.9, 53.2
2006-03-31, 220.5, 80.3
2006-06-30, 224.2, 88.2
2006-09-30, 221.4, 93.2
2006-12-31, 232.6, 91.3
2007-03-31, 253.7, 100
2007-06-30, 273.2, 114
2007-09-30, 288.7, 140.8
2007-12-31, 300.2, 153.6
2008-03-31, 317.9, 204.1
2008-06-30, 341.9, 233.2
2008-09-30, 355.1, 296.9
2008-12-31, 376.6, 306.9
2009-03-31, 410.8, 366.4
2009-06-30, 448, 421.3
2009-09-30, 484.9, 493.3
2009-12-31, 522.9, 540.2
2010-03-31, 568.6, 619.1
2010-06-30, 612.5, 687.6
2010-09-30, 636.6, 780
2010-12-31, 647.6, 834.1
2011-03-31, 674.3, 966.8
2011-06-30, 701.9, 1041.3
2011-09-30, 711.7, 1179.6
2011-12-31, 721, 1257.4
2012-03-31, 751.9, 1532.8
2012-06-30, 783.6, 1664.4
2012-09-30, 783.9, 1823.9
2012-12-31, 798.2, 1933.5
2013-03-31, 825.4, 2161.1
2013-06-30, 818.5, 2328.1
2013-09-30, 815.6, 2526.9
2013-12-31, 808, 2783
2014-03-31, 848, 2991
2014-06-30, 829, 3209
2014-09-30, 820, 3220
2014-12-31, 815, 3428
2015-03-31, 832, 3647
2015-06-30, 843, 3832
2015-09-30, 860, 4181
2015-12-31, 853, 4688
2016-03-31, 877, 4952
