date,open,high,low,close,volume,adj.close
2016-02-01,146.30,147.70,140.00,143.90,11128800,143.90
2016-01-01,152.50,152.50,133.10,144.90,22660500,144.90
2015-12-01,156.40,157.50,143.00,152.50,15667400,152.50
2015-11-02,148.80,158.30,146.20,154.30,17778500,154.30
2015-10-01,129.30,152.00,129.30,146.60,14580300,146.60
2015-09-01,131.70,137.70,125.10,129.30,20291600,129.30
2015-08-03,144.00,145.90,124.00,131.80,26002400,131.80
2015-07-01,154.70,157.90,131.40,144.70,22516300,144.70
2015-06-01,155.70,163.80,150.00,154.70,16335900,154.70
2015-05-01,160.90,163.90,151.80,155.70,18856500,155.70
2015-04-01,148.60,171.00,146.60,160.90,27201300,160.5409
2015-03-02,136.70,151.40,130.20,147.20,23470100,146.8715
2015-02-02,129.90,137.30,128.00,135.90,14616900,135.5967
2015-01-01,112.50,138.00,111.30,132.00,25505000,131.7054
2014-12-01,121.70,122.50,104.50,112.50,24014700,112.2489
2014-11-03,125.00,134.90,121.50,124.00,21506700,123.7232
2014-10-01,115.50,124.00,112.30,123.60,15229100,123.3241
2014-09-01,127.00,129.90,112.80,115.50,21598100,115.2422
2014-08-01,127.00,134.00,125.60,126.50,19655600,126.2177
2014-07-01,118.20,130.90,118.20,128.40,18522700,128.1134
2014-06-02,109.30,119.50,107.70,118.20,17956600,117.9362
2014-05-01,483.20,519.00,106.10,109.30,22997200,109.0561
2014-04-01,544.00,576.50,482.60,483.20,33082900,96.2116
2014-03-03,607.00,646.00,513.00,539.50,39505900,107.4217
2014-02-03,543.50,631.00,500.00,622.50,31204400,123.9481
2014-01-01,494.60,545.00,481.20,543.50,24288800,108.2182
2013-12-02,450.00,502.00,440.00,494.60,16300200,98.4815
2013-11-01,420.00,449.40,387.80,448.40,23119500,89.2825
2013-10-01,406.80,455.00,402.40,423.20,16022500,84.2648
2013-09-02,369.20,422.40,367.00,406.80,19792500,80.9994
2013-08-01,354.00,380.00,351.00,363.60,18892400,72.3977
2013-07-01,304.20,364.00,296.00,351.80,21152000,70.0481
2013-06-03,306.20,315.00,269.40,304.20,22968100,60.5703
2013-05-01,266.20,310.00,263.40,307.80,20413600,61.2871
2013-04-01,246.80,268.60,237.00,266.20,20266600,52.097
2013-03-01,270.40,286.00,239.40,246.80,34052300,48.3003
2013-02-01,268.00,278.80,262.60,268.20,14361800,52.4884
2013-01-01,249.00,273.00,249.00,271.40,19466000,53.1147
2012-12-03,250.60,255.00,239.20,249.00,14388400,48.7309
2012-11-01,274.00,281.00,242.40,253.20,20661400,49.5528
2012-10-01,264.20,274.60,255.00,274.00,11098500,53.6235
2012-09-03,238.80,265.00,233.00,264.20,15319600,51.7056
2012-08-01,231.80,252.80,224.60,237.00,17896500,46.3824
2012-07-02,226.00,240.60,219.40,231.80,15051300,45.3647
2012-06-01,213.40,241.00,204.40,226.00,17380800,44.2296
2012-05-01,244.00,248.80,203.60,213.40,24090800,41.7637
2012-04-02,219.40,245.40,212.20,243.80,16189100,46.918
2012-03-01,200.00,225.40,193.60,216.60,22182700,41.6835
2012-02-01,191.00,204.60,181.10,202.00,20809200,38.8738
2012-01-02,156.10,190.00,150.30,189.70,19574400,36.5067
2011-12-01,158.00,159.30,142.50,156.10,16233500,30.0406
2011-11-01,176.60,188.00,139.80,145.20,31279400,27.9429
2011-10-03,163.00,190.00,139.90,183.10,26978800,35.2366
2011-09-01,190.00,192.00,151.60,164.20,33718400,31.5994
2011-08-01,205.00,208.60,165.50,185.00,33451800,35.6022
2011-07-04,217.20,218.60,198.40,202.80,19089700,39.0277
2011-06-01,225.00,226.40,187.20,211.20,31604600,40.6443
2011-05-03,227.40,227.40,207.00,223.80,24667000,43.0691
2011-04-01,194.00,230.80,189.50,221.00,33885800,42.001
2011-03-01,210.00,228.80,186.40,189.50,37665800,36.0145
2011-02-01,202.20,212.00,187.00,206.00,29237200,39.1503
2011-01-03,169.90,205.80,169.00,202.00,24101000,38.3901
2010-12-01,173.30,184.40,166.70,168.90,15271000,32.0994
2010-11-01,186.00,189.20,164.30,172.70,29626800,32.8216
2010-10-04,175.00,193.00,165.40,177.50,23560900,33.7338
2010-09-01,140.80,171.10,140.40,169.60,22366300,32.2325
2010-08-02,152.00,155.80,135.70,142.30,20297100,27.0441
2010-07-02,130.50,150.40,128.30,149.70,26484000,28.4505
2010-06-01,149.50,153.90,120.40,130.50,57430800,24.8015
2010-05-03,162.00,166.80,142.00,150.20,34454700,28.5455
2010-04-01,154.10,165.50,153.30,163.40,24927700,30.6789
2010-03-01,154.00,168.00,150.50,155.80,28830300,29.2519
